sna, tot, sbi, lat, lng, bemp, act, sno, sarea, mday, ar, sareaen, snaen, aren 
 捷運大園站(A15), 32, 16, 25.056627, 121.209741, 16, 1, 2098, 大園區, 20200817231719, 橫湳一路1號捷運站旁人行道, Dayuan Dist., MRT  Dayuan Station(A15), No.1, Hengnan 1st. Rd. 
 捷運領航站(A17), 40, 16, 25.023021, 121.222169, 24, 1, 2099, 大園區, 20200817231730, 領航北路四段358號對面人行道, Dayuan Dist., MRT Linghang Station (A17), No.358, Sec. 4, Linghang N. Rd.(opposite) 
 捷運高鐵桃園站(A18), 62, 16, 25.013775, 121.213932, 38, 1, 2100, 中壢區, 20200817231726, 高鐵北路一段6號(對面捷運站出口外側人行道), Zhongli Dist., MRT HSR Taoyuan Station (A18), No.6, Sec. 1, Gaotie N. Rd.(opposite) 
 捷運桃園體育園區站(A19), 30, 13, 25.001568, 121.202782, 14, 1, 2101, 中壢區, 20200817231740, 高鐵南路二段369號對面人行道, Zhongli Dist., MRT Taoyuan Sports Park Station (A19), No.369, Sec. 2, Gaotie S. Rd.(opposite) 
 捷運環北站(A21), 40, 16, 24.967563, 121.220967, 24, 1, 2102, 中壢區, 20200817231723, 中豐北路26號旁人行道, Zhongli Dist., MRT Huanbei Station (A21), No.26, Zhongfeng N. Rd. 
 青埔國中, 36, 10, 25.010832, 121.205798, 24, 1, 2103, 中壢區, 20200817231725, 領航北路二段281號前方人行道, Zhongli Dist., Qing Pu Junior High School, No.281, Sec. 2, Linghang N. Rd. 
 領航公園, 38, 27, 25.007413, 121.201054, 11, 1, 2104, 中壢區, 20200817231736, 領航北路一段永裕路口北側公園旁人行道, Zhongli Dist., Linghang Park, Sec. 1, Linghang N. Rd./Yongyu Rd. 
 仁祥公園, 38, 17, 24.948864, 121.260842, 20, 1, 2105, 中壢區, 20200817231728, 華祥一街3巷2號對面人行道, Zhongli Dist., Renxiang Park, No.2, Ln. 3, Huaxiang 1st St.(opposite) 
 篤行公園, 34, 12, 24.958288, 121.263280, 20, 1, 2106, 中壢區, 20200817231740, 永福路47號對面人行道, Zhongli Dist., Duxing Park, No.47, Yongfu Rd.(opposite) 
 桃園市政府警察局桃園分局, 34, 23, 25.000418, 121.299434, 10, 1, 2107, 桃園區, 20200817231715, 永安路375號旁人行道, Taoyuan Dist., Taoyuan Police Department Taoyuan Branch, No.375, Yong’an Rd. 
